sample-id,forward-absolute-filepath,reverse-absolute-filepath
1001,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1001_C_2018_P3_N300_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1001_C_2018_P3_N300_20180425_CABBI.R2.fastq.gz
1002,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1002_C_2018_P3_N300_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1002_C_2018_P3_N300_20180425_CABBI.R2.fastq.gz
1003,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1003_C_2018_P3_N300_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1003_C_2018_P3_N300_20180425_CABBI.R2.fastq.gz
1004,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1004_C_2018_P4_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1004_C_2018_P4_N0_20180425_CABBI.R2.fastq.gz
1005,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1005_C_2018_P4_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1005_C_2018_P4_N0_20180425_CABBI.R2.fastq.gz
1006,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1006_C_2018_P4_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1006_C_2018_P4_N0_20180425_CABBI.R2.fastq.gz
1007,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1007_C_2018_P5_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1007_C_2018_P5_N200_20180425_CABBI.R2.fastq.gz
1008,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1008_C_2018_P5_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1008_C_2018_P5_N200_20180425_CABBI.R2.fastq.gz
1009,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1009_C_2018_P5_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1009_C_2018_P5_N200_20180425_CABBI.R2.fastq.gz
1010,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1010_C_2018_P6_N300_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1010_C_2018_P6_N300_20180425_CABBI.R2.fastq.gz
1011,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1011_C_2018_P6_N300_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1011_C_2018_P6_N300_20180425_CABBI.R2.fastq.gz
1012,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1012_C_2018_P6_N300_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1012_C_2018_P6_N300_20180425_CABBI.R2.fastq.gz
1013,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1013_C_2018_P7_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1013_C_2018_P7_N0_20180425_CABBI.R2.fastq.gz
1014,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1014_C_2018_P7_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1014_C_2018_P7_N0_20180425_CABBI.R2.fastq.gz
1015,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1015_C_2018_P7_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1015_C_2018_P7_N0_20180425_CABBI.R2.fastq.gz
1016,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1016_C_2018_P9_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1016_C_2018_P9_N200_20180425_CABBI.R2.fastq.gz
1017,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1017_C_2018_P9_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1017_C_2018_P9_N200_20180425_CABBI.R2.fastq.gz
1018,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1018_C_2018_P9_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1018_C_2018_P9_N200_20180425_CABBI.R2.fastq.gz
1019,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1019_C_2018_P12_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1019_C_2018_P12_N200_20180425_CABBI.R2.fastq.gz
1020,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1020_C_2018_P12_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1020_C_2018_P12_N200_20180425_CABBI.R2.fastq.gz
1021,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1021_C_2018_P12_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1021_C_2018_P12_N200_20180425_CABBI.R2.fastq.gz
1022,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1022_C_2018_P13_N300_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1022_C_2018_P13_N300_20180425_CABBI.R2.fastq.gz
1023,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1023_C_2018_P13_N300_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1023_C_2018_P13_N300_20180425_CABBI.R2.fastq.gz
1024,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1024_C_2018_P13_N300_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1024_C_2018_P13_N300_20180425_CABBI.R2.fastq.gz
1025,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1025_C_2018_P14_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1025_C_2018_P14_N0_20180425_CABBI.R2.fastq.gz
1026,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1026_C_2018_P14_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1026_C_2018_P14_N0_20180425_CABBI.R2.fastq.gz
1027,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1027_C_2018_P14_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1027_C_2018_P14_N0_20180425_CABBI.R2.fastq.gz
1028,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1028_M_2015_P3_N400_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1028_M_2015_P3_N400_20180425_CABBI.R2.fastq.gz
1029,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1029_M_2015_P3_N400_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1029_M_2015_P3_N400_20180425_CABBI.R2.fastq.gz
1030,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1030_M_2015_P3_N400_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1030_M_2015_P3_N400_20180425_CABBI.R2.fastq.gz
1031,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1031_M_2015_P4_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1031_M_2015_P4_N0_20180425_CABBI.R2.fastq.gz
1032,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1032_M_2015_P4_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1032_M_2015_P4_N0_20180425_CABBI.R2.fastq.gz
1033,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1033_M_2015_P4_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1033_M_2015_P4_N0_20180425_CABBI.R2.fastq.gz
1034,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1034_M_2015_P5_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1034_M_2015_P5_N200_20180425_CABBI.R2.fastq.gz
1035,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1035_M_2015_P5_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1035_M_2015_P5_N200_20180425_CABBI.R2.fastq.gz
1036,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1036_M_2015_P5_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1036_M_2015_P5_N200_20180425_CABBI.R2.fastq.gz
1037,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1037_M_2016_P6_N400_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1037_M_2016_P6_N400_20180425_CABBI.R2.fastq.gz
1038,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1038_M_2016_P6_N400_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1038_M_2016_P6_N400_20180425_CABBI.R2.fastq.gz
1039,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1039_M_2016_P6_N400_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1039_M_2016_P6_N400_20180425_CABBI.R2.fastq.gz
1040,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1040_M_2016_P7_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1040_M_2016_P7_N0_20180425_CABBI.R2.fastq.gz
1041,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1041_M_2016_P7_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1041_M_2016_P7_N0_20180425_CABBI.R2.fastq.gz
1042,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1042_M_2016_P7_N0_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1042_M_2016_P7_N0_20180425_CABBI.R2.fastq.gz
1043,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1043_M_2016_P9_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1043_M_2016_P9_N200_20180425_CABBI.R2.fastq.gz
1044,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1044_M_2016_P9_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1044_M_2016_P9_N200_20180425_CABBI.R2.fastq.gz
1045,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1045_M_2016_P9_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1045_M_2016_P9_N200_20180425_CABBI.R2.fastq.gz
1046,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1046_M_2017_P12_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1046_M_2017_P12_N200_20180425_CABBI.R2.fastq.gz
1047,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1047_M_2017_P12_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1047_M_2017_P12_N200_20180425_CABBI.R2.fastq.gz
1048,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1048_M_2017_P12_N200_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1048_M_2017_P12_N200_20180425_CABBI.R2.fastq.gz
1049,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1049_M_2017_P13_N400_20180425_CABBI.R1.fastq.gz,/mnt/research/EvansLab/Brandon/inter_BRC_microbiome/raw_seqs/1049_M_2017_P13_N400_20180425_CABBI.R2.fastq.gz
