sample.id	brc	crop	microbiome_compartment	case_study	fertilization	drought	irrigation	drought_tolerance	genotype	site	cropping_system	plot	Year	Sampling Location	Replicate	Sampling Date	Nitrogen conc	Days after fertilization	Treatment	Line	Block	Harvest
Re.1093	cabbi	Miscanthus	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	37	2016	NA	NA	NA	400	-14	NA	NA	NA	NA
Re.2003	cabbi	Corn	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	3	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
Re.2023	cabbi	Corn	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	13	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
Re.2058	cabbi	Miscanthus	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	18	2016	NA	NA	NA	200	-10	NA	NA	NA	NA
Re.2093	cabbi	Miscanthus	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	37	2016	NA	NA	NA	400	-10	NA	NA	NA	NA
Re.2115	cabbi	Corn	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	35	2018	NA	NA	NA	0	-10	NA	NA	NA	NA
Re.2119	cabbi	Corn	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	37	2018	NA	NA	NA	300	-10	NA	NA	NA	NA
Re.4077	cabbi	Corn	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	35	2018	NA	NA	NA	0	21	NA	NA	NA	NA
Re.4102	cabbi	Miscanthus	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	55	2015	NA	NA	NA	0	21	NA	NA	NA	NA
Re.5007	cabbi	Corn	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	6	2018	NA	NA	NA	300	69	NA	NA	NA	NA
Re.5062	cabbi	Miscanthus	Rhizosphere	spatial	NA	NA	NA	NA	NA	NA	NA	37	2016	NA	NA	NA	400	69	NA	NA	NA	NA
SABR.1.P01.B.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P01.B.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P01.R.a	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P01.R.b	cabbi	Corn	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P01	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P02.B.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Interrow	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P02.B.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Interrow	b	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P02.R.a	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Row	a	6/14/23	NA	NA	NA	NA	NA	NA
SABR.1.P02.R.b	cabbi	Sorghum	Rhizosphere	spatial	Fert	NA	NA	NA	NA	NA	NA	P02	2023	Row	b	6/14/23	NA	NA	NA	NA	NA	NA
